"filename", "language", "Markdown", "CSS", "JavaScript", "JSON", "JavaScript React", "XML", "HTML", "comment", "blank", "total"
"c:\Users\domfo\Desktop\JS\LabRats\README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 15, 51
"c:\Users\domfo\Desktop\JS\LabRats\backend\config\db.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\domfo\Desktop\JS\LabRats\backend\controllers\addUserController.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\domfo\Desktop\JS\LabRats\backend\controllers\labController.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 10, 25, 161
"c:\Users\domfo\Desktop\JS\LabRats\backend\controllers\projectController.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 1, 21, 108
"c:\Users\domfo\Desktop\JS\LabRats\backend\controllers\taskController.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 16, 91
"c:\Users\domfo\Desktop\JS\LabRats\backend\controllers\userController.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 6, 26, 124
"c:\Users\domfo\Desktop\JS\LabRats\backend\middleware\authMiddleware.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 18, 62
"c:\Users\domfo\Desktop\JS\LabRats\backend\middleware\errorMiddleware.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 1, 14
"c:\Users\domfo\Desktop\JS\LabRats\backend\models\labModel.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 3, 74
"c:\Users\domfo\Desktop\JS\LabRats\backend\models\projectModel.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 12, 4, 40
"c:\Users\domfo\Desktop\JS\LabRats\backend\models\taskModel.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\domfo\Desktop\JS\LabRats\backend\models\userModel.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\domfo\Desktop\JS\LabRats\backend\routes\labRoute.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\domfo\Desktop\JS\LabRats\backend\routes\projectRoute.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\domfo\Desktop\JS\LabRats\backend\routes\taskRoute.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\domfo\Desktop\JS\LabRats\backend\routes\userRoutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 2, 19
"c:\Users\domfo\Desktop\JS\LabRats\backend\server.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\domfo\Desktop\JS\LabRats\client\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\domfo\Desktop\JS\LabRats\client\__mocks__\styleMock.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\domfo\Desktop\JS\LabRats\client\package-lock.json", "JSON", 0, 0, 0, 31406, 0, 0, 0, 0, 1, 31407
"c:\Users\domfo\Desktop\JS\LabRats\client\package.json", "JSON", 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"c:\Users\domfo\Desktop\JS\LabRats\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\domfo\Desktop\JS\LabRats\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\domfo\Desktop\JS\LabRats\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\domfo\Desktop\JS\LabRats\client\src\App.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 8, 15, 94
"c:\Users\domfo\Desktop\JS\LabRats\client\src\app\localStorage.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\domfo\Desktop\JS\LabRats\client\src\app\store.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\Layout.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\auth\LoginUser.jsx", "JavaScript React", 0, 0, 0, 0, 83, 0, 0, 6, 17, 106
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\auth\register.jsx", "JavaScript React", 0, 0, 0, 0, 111, 0, 0, 13, 18, 142
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\button\MyButton.css", "CSS", 0, 91, 0, 0, 0, 0, 0, 0, 4, 95
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\button\MyButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\dashboard\Dashboard.css", "CSS", 0, 62, 0, 0, 0, 0, 0, 0, 14, 76
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\dashboard\Dashboard.jsx", "JavaScript React", 0, 0, 0, 0, 77, 0, 0, 1, 19, 97
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\dashboard\Dashboard.test.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 8, 10, 62
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\CreateLab.jsx", "JavaScript React", 0, 0, 0, 0, 110, 0, 0, 7, 16, 133
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\EditLab.jsx", "JavaScript React", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\GetLab.jsx", "JavaScript React", 0, 0, 0, 0, 145, 0, 0, 1, 21, 167
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\JoinLab.jsx", "JavaScript React", 0, 0, 0, 0, 84, 0, 0, 3, 13, 100
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\Lab.jsx", "JavaScript React", 0, 0, 0, 0, 35, 0, 0, 0, 16, 51
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\ModalAddLab.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 7, 15, 127
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\lab\ModalJoinLab.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"c:\Users\domfo\Desktop\JS\LabRats\client\src\components\loading\dots.css", "CSS", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
